Data Version: 1.0.1.0

[Item ID]	[Item Name]
297	Chatacabra Certificate S
298	Xu Wu Certificate S
299	Quematrice Igniter
300	Quematrice Certificate
301	Quematrice Scale+
302	Quematrice Hide+
303	Quematrice Igniter+
304	Quematrice Crest+
305	Quematrice Certificate S
306	Lala Barina Floret+
307	Lala Barina Carapace
308	Lala Barina Claw+
309	Lala Barina Stinger+
310	Lala Barina Certificate S
311	Balahara Certificate
312	Balahara Scale+
313	Balahara Carapace
314	Balahara Skull+
315	Balahara Certificate S
316	Doshaguma Certificate
317	Doshaguma Fur+
318	Doshaguma Hide+
319	Doshaguma Claw+
320	Doshaguma Fang+
321	Doshaguma Certificate S
322	Uth Duna Scale
323	Uth Duna Hide
324	Uth Duna Cilia
325	Uth Duna Tentacle
326	Uth Duna Claw
327	Uth Duna Plate
328	Uth Duna Certificate
329	Uth Duna Scale+
330	Uth Duna Hide+
331	Uth Duna Cilia+
332	Uth Duna Tentacle+
333	Uth Duna Claw+
334	Uth Duna Watergem
335	Uth Duna Certificate S
336	Rompopolo Hide
337	Rompopolo Claw
338	Spotted Poison Hide
339	Rompopolo Beak
340	Rompopolo Certificate
341	Rompopolo Hide+
342	Rompopolo Claw+
343	Spotted Poison Hide+
344	Rompopolo Beak+
345	Rompopolo Certificate S
346	Rey Dau Certificate
347	Rey Dau Scale+
348	Rey Dau Carapace
349	Rey Dau Bolthorn
350	Rey Dau Fulgurtalon
351	Rey Dau Boltgem
352	Rey Dau Certificate S
353	Hirabami Scale
354	Hirabami Hide
355	Hirabami Webbing
356	Hirabami Tail Claw
357	Hirabami Certificate
358	Hirabami Scale+
359	Hirabami Hide+
360	Hirabami Webbing+
361	Hirabami Tail Claw+
362	Hirabami Certificate S
363	Ajarakan Scale
364	Ajarakan Shell
365	Ajarakan Ridge
366	Ajarakan Tail
367	Ajarakan Jewel
368	Ajarakan Marrow
369	Ajarakan Certificate
370	Ajarakan Scale+
371	Ajarakan Carapace
372	Ajarakan Ridge+
373	Ajarakan Jewel+
374	Ajarakan Medulla
375	Ajarakan Certificate S
376	Nu Udra Hide
377	Nu Udra Spike
378	Nu Udra Horn
379	Nu Udra Tentacle
380	Nu Udra Oilmucus
381	Nu Udra Cerebrospinal Fluid
382	Nu Udra Certificate
383	Nu Udra Hide+
384	Nu Udra Spike+
385	Nu Udra Horn+
386	Nu Udra Tentacle+
387	Nu Udra Oilmucus+
388	Nu Udra Flamegem
389	Nu Udra Certificate S
390	Guardian Doshaguma Fur
391	Guardian Doshaguma Hide
392	Guardian Doshaguma Claw
393	Guardian Doshaguma Fang
394	G. Doshaguma Certificate
395	Guardian Doshaguma Fur+
396	Guardian Doshaguma Hide+
397	Guardian Doshaguma Claw+
398	Guardian Doshaguma Fang+
399	G. Doshaguma Certificate S
400	Guardian Rathalos Scale
401	Guardian Rathalos Shell
402	Guardian Rathalos Webbing
403	Guardian Rathalos Tail
405	G. Rathalos Certificate
406	Guardian Rathalos Scale+
407	Guardian Rathalos Carapace
408	Guardian Rathalos Wing
409	Equipped Mantles
410	G. Rathalos Certificate S
411	Rath Medulla
413	Demon Ammo
414	Armor Ammo
415	Recover Ammo
416	Tranq Ammo
417	Exhaust Ammo
418	Frenzy Shard
419	Jin Dahaad Scale+
420	Jin Dahaad Carapace
421	Jin Dahaad Iceplate
422	Jin Dahaad Claw+
423	Jin Dahaad Horn
424	Jin Dahaad Icegem
425	Jin Dahaad Certificate S
426	Guardian Ebony Scale
427	Guardian Ebony Sinew
428	Guardian Ebony Claw
429	Guardian Ebony Fang
430	Guardian Ebony Tail
431	Guardian Ebony Plate
432	G. Ebony Odogaron Certificate
433	Guardian Ebony Scale+
434	Guardian Ebony Sinew+
435	Guardian Ebony Claw+
436	Guardian Ebony Fang+
437	Guardian Ebony Gem
438	G. Ebony Odogaron Certificate S
439	Nourishing Extract
440	Xu Wu Hide
441	Golden Corneum
442	Xu Wu Tentacle
443	Xu Wu Claw
444	Xu Wu Fang
445	Xu Wu Cerebrospinal Fluid
446	Xu Wu Certificate
447	Xu Wu Hide+
448	Golden Corneum+
449	Xu Wu Tentacle+
450	Xu Wu Claw+
451	Xu Wu Fang+
452	Xu Wu Umbragem
454	Guardian Scale
455	Guardian Scale+
456	Arkveld Tail
457	Large Dung Pod
458	EZ Large Dung Pod
459	Arkveld Scale+
460	Arkveld Armorplate
462	White Arkveld Pelt
463	Arkveld Calloushell
464	Arkveld Horn+
465	Arkveld Gem
466	Arkveld Certificate S
467	Heavy Blunt Pod
468	Heavy Slicing Pod
469	Heavy Explosion Pod
470	Basic Material
471	Valuable Material
472	Drearisite Scraps
473	Scarred Scale
474	Ancient Wyvern Coin
475	Heavy Piercing Pod
476	<COLOR FF0000>#Rejected#</COLOR> Item_IT_476
477	Chillshroom
478	Hot Pepper
479	Ancient Weapon Fragment
480	Nerscylla Shear
481	Guardian Fulgur Scale+
482	Guardian Fulgur Pelt+
483	Guardian Fulgur Fang+
484	Guardian Fulgur Nosebone+
485	Guardian Fulgur Tail
486	Guardian Fulgur Gem
487	Herbivore Carapace
488	Bulaqchi Carapace
489	Monster Fluid
490	Monster Broth
491	Talioth Scale+
492	Wingdrake Hide+
493	Piragill Fin
494	Piragill Fin+
496	Kranodath Skull
497	Kranodath Skull+
498	Comaqchi Shell
499	Comaqchi Carapace
502	Guardian Seikret Feather
503	Guardian Seikret Feather+
504	Congalala Pelt
505	Congalala Claw
506	Congalala Fang
507	Vibrant Pelt
508	Congalala Certificate
509	Congalala Pelt+
510	Congalala Claw+
511	Congalala Fang+
512	Vibrant Pelt+
513	Nerscylla Shell
514	Nerscylla Chelicera
515	Nerscylla Claw
516	Nerscylla Spike
517	Nerscylla Certificate
518	Nerscylla Carapace
519	Nerscylla Claw+
520	Nerscylla Spike+
521	Nerscylla Certificate S
522	Kut-Ku Scale+
523	Kut-Ku Carapace
524	Kut-Ku Ear
525	Giant Beak
526	Kut-Ku Wing
527	Yian Kut-Ku Certificate S
528	Rubbery Hide
529	Rubbery Hide+
530	Gypceros Wing
531	Gypceros Head
532	Gypceros Tail
533	Gypceros Certificate S
534	Bird Wyvern Gem
535	Dash Extract
536	Rathian Certificate S
537	Blangonga Pelt+
538	Blangonga Fang+
539	Blangonga Whisker
540	Blangonga Tail
541	Blangonga Certificate S
542	Gravios Carapace
543	Gravios Skull
544	Gravios Pleura+
545	Gravios Medulla
546	Gravios Wing
547	Gravios Certificate S
556	Rathalos Scale+
557	Rathalos Carapace
558	Rathalos Wing
559	Rathalos Tail
560	Rathalos Ruby
561	Rathalos Certificate S
562	Gore Magala Scale+
563	Gore Magala Carapace
564	Gore Magala Wing+
565	Gore Magala Ripclaw+
566	Gore Magala Tail
567	Gore Magala Feeler+
568	Gore Magala Nyctgem
569	Gore Magala Certificate S
570	Frenzy Crystal
571	Conga Pelt
572	Conga Pelt+
573	Vespoid Shell
574	Vespoid Carapace
575	Vespoid Wing
576	Vespoid Innerwing
577	Blango Pelt+
578	Lightcrystal
579	Novacrystal
580	Firestone
581	Firecell Stone
582	Fucium Ore
583	Icium
584	Guardian Fulgur Certificate S
585	Congalala Certificate S
586	Charred Oilbone
587	Frozen Icebone
588	Tough Guardian Bone
589	Quality Bone
590	Crushed Crystal
591	Cloudy Crystal
592	Coruscating Crystal
593	Flame Sac
594	Inferno Sac
595	Aqua Sac
596	Torrent Sac
598	Thunder Sac
599	Frost Sac
600	Freezer Sac
601	Poison Sac
602	Toxin Sac
603	Lala Barina Mucus
604	Lala Barina Mucus+
605	Sleep Sac
606	Coma Sac
607	Guardian Blood
608	Guardian Blood+
609	Great Hibiscus
610	Dalthydon Wool
611	Azuz Tanned Leather
612	Suja Textiles
613	Sild Cotton
614	Gajau Hide
615	Speartuna Fin
616	Commission Ticket
618	Mimiphyta Ticket
619	Mystery Orb - Sword
620	Glowing Orb - Sword
621	Ancient Orb - Sword
622	Armor Sphere
623	Armor Sphere+
624	Advanced Armor Sphere
625	Hard Armor Sphere
626	Rocksteady Mantle
627	Mending Mantle
628	Evasion Mantle
629	Corrupted Mantle
630	Wyvern Egg
631	Charred Lizard
632	Wild Jerky
634	Catalyst
635	Gunpowder
636	Small Barrel
637	Large Barrel
638	Spider Web
639	Net
640	Gunpowderfish Scale
641	Burst Arowana Scale
642	Bomb Arowana Scale
643	Gilded Scale
644	Golden Scale
645	Platinum Scale
647	Steel Melding Ticket
648	Silver Melding Ticket
649	Steel Relic Ticket
650	Silver Relic Ticket
651	Steel Egg
652	Silver Egg
653	Golden Egg
654	Heavy Armor Sphere
655	Monster Keenbone
656	Monster Hardbone
657	Stoutbone
658	Great Stoutbone
659	Hunter Symbol I
660	Hunter Symbol II
661	Hunter Symbol III
662	Gold Melding Ticket
663	Gold Relic Ticket
664	Guardian Pelt
665	Guardian Pelt+
666	Drearisite
667	Specklite
668	Argecite
669	Oricalcite
670	Common Wood Minnow
671	Golden Bughead
672	Emerald Jitterbait
673	Tuff Joint Bait
674	Duster Rig
675	Tentacle Jig
676	Close-range Coating
677	Power Coating
678	Pierce Coating
679	Paralysis Coating
680	Poison Coating
681	Sleep Coating
682	Blast Coating
683	Exhaust Coating
684	Whetfish Fin+
685	Great Sushifish Scale
686	Old Weapon Shard - Blade
687	Old Weapon Shard - Tube
688	Old Weapon Shard - Disc
689	Old Weapon Shard - Device
690	<COLOR FF0000>#Rejected#</COLOR> Item_IT_690
698	Gracium
699	Wyverian Bloodstone Shard
700	Wyverian Bloodstone (S)
701	Wyverian Bloodstone
702	Wyverian Bloodstone (L)
703	Wyverian Bloodstone Chunk
704	Balahara Black Pearl
705	Guardian Rathalos Ruby
706	Guardian Rathalos Plate
707	Jin Dahaad Tail
708	Expedition Headgear Ticket
